P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
O70589," Membrane,  Alternative splicing,  ATP-binding,  Calmodulin-binding, Phosphoprotein, 3D-structure,  Nucleotide-binding,  Repeat,  Transferase,  Cytoplasm, Serine/threonine-protein kinase,  Nucleus,  Reference proteome,  Kinase, Cell membrane,  SH3 domain"
Q8BU33," Membrane,  Fatty acid metabolism,  Lyase,  Magnesium,  Metal-binding, Phosphoprotein,  Transmembrane, Alternative splicing,  Endoplasmic reticulum,  Reference proteome,  Thiamine pyrophosphate, Lipid metabolism, Transmembrane helix"
Q8VDP4," Apoptosis,  Reference proteome,  DNA damage, Transcription,  Metalloenzyme inhibitor,  Cell cycle,  Ubl conjugation,  Methylation,  Cytoplasm,  Direct protein sequencing,  Transcription regulation,  mRNA processing,  Biological rhythms,  Activator,  Phosphoprotein,  Tumor suppressor, Wnt signaling pathway, Acetylation, mRNA splicing,  Nucleus, Isopeptide bond,  Repressor, Coiled coil"
Q62465," Membrane,  Direct protein sequencing,  Phosphoprotein,  Mitochondrion, Reference proteome, Mitochondrion outer membrane,  Cytoplasm, Acetylation,  Oxidoreductase"
P56399," Phosphoprotein,  Zinc-finger, Ubl conjugation pathway,  Hydrolase,  Disulfide bond,  Repeat, Acetylation, Protease,  Thiol protease,  Reference proteome,  Metal-binding,  Zinc"
Q6RHR9," Membrane,  Alternative splicing,  Tight junction,  ATP-binding, Phosphoprotein,  Repeat, 3D-structure,  Nucleotide-binding,  Cytoplasm,  Nucleus,  Reference proteome, Cell membrane,  Cell junction"
P43275," Phosphoprotein, Nucleus,  DNA-binding,  Citrullination,  Chromosome, Acetylation,  Reference proteome,  Hydroxylation"
P62484," Cytoskeleton,  Phosphoprotein,  Coiled coil, Neurogenesis, Cell junction,  Synapse,  Cytoplasm,  Cell projection,  Reference proteome,  SH3 domain"
P70336," Membrane,  Cytoskeleton,  Phosphoprotein,  Cell membrane,  ATP-binding,  Magnesium, Reference proteome,  Nucleotide-binding, Zinc-finger, Metal-binding,  Serine/threonine-protein kinase,  Cytoplasm,  Biological rhythms, Alternative splicing,  Nucleus,  Transferase, Coiled coil,  Kinase,  Zinc"
Q8BSS9," Phosphoprotein,  Coiled coil, Reference proteome, Cell junction,  Repeat,  Synapse,  Cytoplasm,  Cell projection"
Q5SRX1," Transport,  Phosphoprotein, Reference proteome,  Protein transport, Alternative splicing"
Q9WTX6,"Ubl conjugation,  Methylation, Host-virus interaction,  Isopeptide bond,  Ubl conjugation pathway,  Reference proteome"
Q80X85,"Ribosomal protein,  Mitochondrion, Acetylation,  Transit peptide,  Reference proteome,  Ribonucleoprotein"
Q04750," Direct protein sequencing,  Phosphoprotein,  Ubl conjugation,  DNA-binding,  Isopeptide bond,  Biological rhythms, Acetylation, Isomerase,  Nucleus, Topoisomerase,  Reference proteome"
P50247," Acetylation,  Phosphoprotein,  NAD,  Hydrolase, 3D-structure,  Cytoplasm, One-carbon metabolism,  Reference proteome"
P23818," Membrane,  Receptor,  Endosome,  Lipoprotein,  Palmitate, Cell junction, Postsynaptic cell membrane,  Transmembrane helix,  Reference proteome, Transmembrane,  Transport,  Ion transport,  Synapse,  Glycoprotein,  Cell projection, Ligand-gated ion channel, Endoplasmic reticulum,  Disulfide bond,  Signal,  Phosphoprotein,  Cell membrane,  Ion channel"
P52785," Membrane,  GTP-binding,  cGMP biosynthesis,  Lyase, Cell projection, Reference proteome,  Disulfide bond,  Nucleotide-binding, Glycoprotein,  Sensory transduction,  Endoplasmic reticulum,  Vision,  Signal,  Transmembrane, Transmembrane helix"
Q80U30," Membrane,  Autophagy,  Endosome, Reference proteome, Alternative splicing,  Lysosome"
Q99JY0," Membrane,  Fatty acid metabolism,  Mitochondrion inner membrane,  Mitochondrion,  Acyltransferase, Mitochondrion outer membrane,  Transferase, Transit peptide, Acetylation,  Endoplasmic reticulum,  Reference proteome, Lipid metabolism"
O54786," Acetylation,  Apoptosis,  Alternative splicing, Phosphoprotein, 3D-structure,  Cytoplasm,  Reference proteome"
Q9JHL1," Membrane,  Phosphoprotein,  Cell membrane, Reference proteome,  Repeat, Alternative splicing,  Nucleus"
Q9D379," Detoxification,  Membrane, Methylation,  Hydrolase,  Aromatic hydrocarbons catabolism,  Microsome, Acetylation,  Endoplasmic reticulum, Direct protein sequencing,  Reference proteome,  Transmembrane, Transmembrane helix"
P58404," Membrane,  Phosphoprotein,  Calmodulin-binding,  Synapse,  WD repeat,  Cytoplasm, Alternative splicing,  Cell projection,  Reference proteome, Repeat, Coiled coil,  Cell junction"
Q61545," Membrane,  Phosphoprotein,  Transcription,  Zinc-finger,  Cell membrane,  Methylation, Zinc,  Calmodulin-binding,  Transcription regulation,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Reference proteome, Repeat, Metal-binding,  Repressor"
Q923X2," Direct protein sequencing,  Apoptosis,  Coiled coil,  Autophagy,  GTP-binding, Membrane, Ubl conjugation,  Mitochondrion,  Hydrolase, Phosphoprotein,  Nucleotide-binding,  Transmembrane,  Unfolded protein response, Alternative splicing,  Transmembrane helix,  Reference proteome, Developmental protein,  Mitochondrion outer membrane"
Q9D6U8," Membrane,  Mitochondrion,  Reference proteome,  Transmembrane, Apoptosis, Transmembrane helix"
P56564," Membrane,  Direct protein sequencing,  Phosphoprotein,  Symport,  Cell membrane,  Potassium, Reference proteome,  Transmembrane, Amino-acid transport, Glycoprotein,  Transmembrane helix,  Chloride, Transport,  Sodium,  Metal-binding"
A2AG50," Reference proteome,  Coiled coil, Alternative splicing"
Q810A7,"Methylation,  Coiled coil,  Alternative splicing,  Phosphoprotein,  Ubl conjugation,  ATP-binding,  Helicase,  Hydrolase,  Isopeptide bond,  Nucleotide-binding, Reference proteome,  RNA-binding,  Cytoplasm, Acetylation,  Nucleus, Direct protein sequencing"
Q9CUU3," Phosphoprotein,  Coiled coil,  Cell cycle,  Cell division, 3D-structure,  Chromosome, DNA-binding,  Meiosis,  Nucleus,  Reference proteome"
P08556," Membrane,  GTP-binding,  Phosphoprotein,  Lipoprotein,  Prenylation,  Cell membrane,  Golgi apparatus,  Methylation, Ubl conjugation,  Hydrolase,  Nucleotide-binding, Palmitate, Acetylation,  Reference proteome, Isopeptide bond,  Proto-oncogene"
O35643," Membrane,  Transport,  Reference proteome,  Golgi apparatus, Acetylation,  Nitration, Protein transport,  Cytoplasmic vesicle"
Q8BHG1," Phosphoprotein,  Metalloprotease,  Protease, Reference proteome, Hydrolase,  Signal,  Metal-binding,  Zinc"
Q03958,"Ubl conjugation,  Chaperone,  Isopeptide bond, Acetylation,  Nucleus,  Reference proteome"
Q9DC70," Transport,  Direct protein sequencing, Translocase,  Iron,  Reference proteome, Iron-sulfur,  NAD,  Respiratory chain,  Mitochondrion,  Metal-binding, Phosphoprotein, 3D-structure,  4Fe-4S,  Transit peptide,  Oxidoreductase,  Electron transport,  Ubiquinone"
P35282,"Golgi apparatus,  GTP-binding,  Membrane,  Endosome,  Lipoprotein, Nucleotide-binding,  Prenylation, Transport,  Methylation, Acetylation,  Protein transport,  Cell projection,  Endoplasmic reticulum, Direct protein sequencing,  Reference proteome,  Cytoplasmic vesicle"
O55029," Acetylation,  Membrane,  Phosphoprotein,  Coiled coil,  Transport,  Golgi apparatus,  Repeat, 3D-structure,  WD repeat,  Cytoplasm, ER-Golgi transport,  Reference proteome, Protein transport,  Cytoplasmic vesicle"
P98195," Membrane,  Translocase,  Golgi apparatus,  ATP-binding,  Magnesium,  Nucleotide-binding, Alternative splicing,  Transmembrane helix,  Reference proteome, Metal-binding, Transmembrane"
Q5EBI0," Membrane,  Transport,  Reference proteome,  Chloride, Antiport,  Transmembrane, Transmembrane helix"
O70325," Peroxidase,  Alternative splicing,  Reference proteome,  Selenocysteine,  Mitochondrion, Phosphoprotein, 3D-structure,  Cytoplasm,  Alternative initiation,  Transit peptide,  Nucleus,  Oxidoreductase, Developmental protein"
Q8CI94," Carbohydrate metabolism,  Phosphoprotein, Pyridoxal phosphate,  Allosteric enzyme,  Glycosyltransferase,  Transferase, Acetylation,  Reference proteome, Glycogen metabolism"
Q9QYR9," Fatty acid metabolism,  Hydrolase,  Serine esterase, Mitochondrion, Acetylation,  Transit peptide,  Reference proteome,  Lipid metabolism"
Q91WC3," Membrane,  Signal-anchor, Fatty acid metabolism,  Ligase,  ATP-binding,  Magnesium,  Mitochondrion,  Nucleotide-binding, Microsome, Alternative splicing,  Endoplasmic reticulum, Peroxisome,  Reference proteome,  Transmembrane,  Mitochondrion outer membrane,  Lipid metabolism, Transmembrane helix"
Q8VDQ8," Membrane, Differentiation,  Meiosis,  Reference proteome, Metal-binding,  Cell cycle,  Ubl conjugation,  Cell division,  Chromosome,  Cytoplasm,  Mitosis,  Cell projection, Cell membrane,  Zinc,  Cytoskeleton,  Direct protein sequencing, Transcription regulation,  Alternative splicing,  Microtubule,  NAD, Phosphoprotein,  Transferase,  Autophagy,  Neurogenesis, Acetylation,  Nucleus,  Transcription"
P23198," Phosphoprotein, Transcription regulation,  Ubl conjugation, Reference proteome,  Repeat,  Isopeptide bond,  Biological rhythms, Acetylation,  Chromatin regulator,  Nucleus, Direct protein sequencing,  Repressor,  Transcription"
Q3UP87,"Disulfide bond,  Protease,  Hydrolase, Serine protease,  Glycoprotein,  Reference proteome,  Signal"
Q8VE06," Phosphoprotein,  Alternative splicing, Ubl conjugation,  DNA-binding,  Repeat,  Chromosome, Acetylation,  Nucleus,  Reference proteome, Isopeptide bond"
Q68FH0," Membrane,  Cytoskeleton,  Cell adhesion,  Cell membrane,  Methylation, Phosphoprotein,  Repeat,  Cytoplasm, Alternative splicing,  Reference proteome, Coiled coil,  Cell junction"
Q61233," Cytoskeleton,  Direct protein sequencing, Membrane,  Phosphoprotein,  Cell membrane, Cell projection,  Repeat,  Actin-binding,  Calcium, Acetylation,  Cytoplasm,  Reference proteome,  Metal-binding,  Cell junction"
Q922Q8," Phosphoprotein,  Coiled coil, Membrane,  Leucine-rich repeat,  Repeat,  Microsome, Acetylation,  Transmembrane helix,  Endoplasmic reticulum,  Nucleus,  Reference proteome, Signal-anchor,  Transmembrane"
Q99MN9," Ligase,  Mitochondrion,  ATP-binding, Phosphoprotein,  Nucleotide-binding, Acetylation,  Transit peptide,  Reference proteome"
P31648," Membrane,  Transport,  Symport,  Cell membrane,  Disulfide bond, Cell junction, Phosphoprotein,  Synapse, Glycoprotein,  Transmembrane helix,  Cell projection,  Neurotransmitter transport,  Sodium,  Reference proteome,  Metal-binding, Transmembrane"
Q9Z2W8," Membrane,  Receptor,  Phosphoprotein,  Transport, Lipoprotein,  Cell membrane,  Palmitate,  Ion transport,  Disulfide bond, Cell junction,  Synapse, Postsynaptic cell membrane, Glycoprotein,  Transmembrane helix,  Cell projection,  Ligand-gated ion channel,  Reference proteome,  Ion channel,  Signal, Transmembrane"
Q4KMM3," Phosphoprotein, Reference proteome,  Mitochondrion, Alternative splicing,  Nucleus"
Q8CG55," Phosphoprotein,  Coiled coil, Membrane,  Signal-anchor, Alternative splicing,  Endoplasmic reticulum,  Glycoprotein,  Reference proteome,  Transmembrane, Transmembrane helix"
A2A699," Membrane,  Phosphoprotein, Reference proteome, Alternative splicing,  Glycoprotein,  Transmembrane helix,  Signal,  Transmembrane"
Q69ZW3," Membrane,  Transport,  Phosphoprotein,  Endosome,  Coiled coil,  Prenylation, Lipoprotein, Reference proteome,  Cytoplasm, Alternative splicing,  Protein transport,  Endocytosis"
Q99JT1,"Protein biosynthesis,  Ligase,  Mitochondrion,  Nucleotide-binding, ATP-binding,  Transit peptide,  Reference proteome"
Q8VBT0," Membrane,  Transport, Disulfide bond, Phosphoprotein,  Transmembrane helix,  Endoplasmic reticulum,  Redox-active center,  Reference proteome,  Signal,  Electron transport, Transmembrane"
P59999," Cytoskeleton,  Actin-binding,  Cytoplasm, Acetylation,  Cell projection,  Nucleus, Direct protein sequencing,  Reference proteome"
Q8BIE6," Cytoskeleton,  Coiled coil,  Tight junction, Phosphoprotein,  Cytoplasm, Alternative splicing,  Reference proteome,  Cell junction"
Q9EPC1," Membrane,  Cytoskeleton,  Phosphoprotein,  Cell adhesion,  Chemotaxis, Repeat,  Cilium biogenesis/degradation,  Actin-binding, Acetylation,  Cell shape,  Reference proteome,  Angiogenesis, Cytoplasm, Cell membrane,  Cell junction"
Q64012," Phosphoprotein,  Coiled coil,  Alternative splicing, mRNA processing,  Ubl conjugation, Reference proteome,  Isopeptide bond,  Transcription regulation,  mRNA splicing, Acetylation,  Nucleus,  RNA-binding,  Ribonucleoprotein, Transcription,  Spliceosome"
S6CCV8," Phosphoprotein,  Methylation,  SH3 domain,  Synapse, 3D-structure,  Actin-binding,  ANK repeat,  Alternative promoter usage,  Cytoplasm, Alternative splicing,  Cell projection,  Reference proteome, Repeat, Coiled coil,  Cell junction"
Q01405," Membrane,  Transport,  Phosphoprotein,  Zinc,  Cytoplasm, ER-Golgi transport, Acetylation,  Endoplasmic reticulum,  Reference proteome, Protein transport,  Metal-binding,  Cytoplasmic vesicle"
Q91XI1," Phosphoprotein,  Flavoprotein,  Zinc-finger,  Ubl conjugation,  Repeat,  Isopeptide bond, Oxidoreductase, Alternative splicing, tRNA processing,  Reference proteome,  FMN,  Metal-binding,  Zinc"
Q99LI7," Acetylation,  Phosphoprotein, Reference proteome,  Repeat, 3D-structure,  mRNA processing,  Nucleus"
Q9QYF1," Membrane,  Signal-anchor,  Alternative splicing, Oxidoreductase, Acetylation, Transmembrane helix,  Endoplasmic reticulum,  Reference proteome,  Transmembrane,  NADP"
Q922R8," Membrane,  Direct protein sequencing,  Phosphoprotein, Disulfide bond, Redox-active center,  Reference proteome,  Cell membrane,  Chaperone,  Repeat, 3D-structure,  Endoplasmic reticulum,  Isomerase,  Signal"
P61087,"Ubl conjugation pathway,  Ubl conjugation,  ATP-binding, Phosphoprotein,  Isopeptide bond,  Nucleotide-binding,  Transferase,  Cytoplasm, Acetylation,  Reference proteome"
Q6P9K9," Membrane,  Alternative splicing,  EGF-like domain,  Disulfide bond,  Repeat, 3D-structure,  Transmembrane, Cell adhesion,  Alternative promoter usage,  Calcium,  Glycoprotein,  Reference proteome,  Signal, Metal-binding, Transmembrane helix"
Q8BXJ8," Apoptosis,  Zinc-finger, Reference proteome,  Repeat, Alternative splicing,  Nucleus,  Metal-binding,  Zinc"
Q63844," Membrane,  Apoptosis,  Cell cycle,  ATP-binding, Phosphoprotein,  Nucleotide-binding,  Serine/threonine-protein kinase,  Cytoplasm, Acetylation,  Nucleus, Direct protein sequencing,  Reference proteome, Transferase,  Kinase"
Q9JM63," Membrane,  Transport, Nucleotide-binding,  Potassium transport,  Cell membrane,  Potassium,  Ion transport,  Voltage-gated channel, ATP-binding,  Transmembrane helix,  Reference proteome,  Ion channel, Transmembrane"
Q6PFR5," Phosphoprotein, Nucleus,  Ubl conjugation,  Methylation,  Isopeptide bond,  mRNA processing,  mRNA splicing, Acetylation,  RNA-binding,  Reference proteome"
Q3UGC7,"Protein biosynthesis,  Phosphoprotein,  Ubl conjugation,  Isopeptide bond,  Initiation factor,  Cytoplasm,  Reference proteome, Coiled coil"
Q9CZA2," GTP-binding, Nucleotide-binding,  Magnesium, 3D-structure,  Isopeptide bond, Direct protein sequencing,  Reference proteome, Metal-binding,  Transport,  Cell cycle,  Ubl conjugation, GTP-binding, Reference proteome,  Cell division,  Cytoplasm,  Mitosis,  Acetylation, Ubl conjugation,  Nucleotide-binding,  Phosphoprotein, Nucleus,  Host-virus interaction, Acetylation,  Protein transport,  Nucleus, Isopeptide bond,  Metal-binding, Protein transport"
Q8R146," Phosphoprotein,  Alternative splicing, Reference proteome,  Hydrolase,  Cytoplasm, Acetylation"
P43406," Membrane,  Receptor,  Signal, Disulfide bond,  Cell adhesion,  Cell membrane,  Developmental protein,  Integrin, Reference proteome, Cleavage on pair of basic residues,  Repeat,  Calcium,  Glycoprotein,  Transmembrane helix,  Differentiation,  Transmembrane,  Metal-binding, Angiogenesis,  Cell junction"
O89084," Phosphoprotein,  Ubl conjugation,  Hydrolase,  Isopeptide bond,  Cytoplasm, Alternative splicing,  Reference proteome, Metal-binding,  cAMP"
Q9CPQ8," Membrane,  Direct protein sequencing,  Transport, Hydrogen ion transport,  Ion transport,  Mitochondrion,  ATP synthesis, Acetylation, Mitochondrion inner membrane,  Reference proteome,  CF(0)"
Q60780," Phosphoprotein,  Coiled coil,  Alternative splicing, Reference proteome, 3D-structure,  Neurogenesis,  Cytoplasm,  Differentiation, Developmental protein"
Q8BGH2," Membrane,  Direct protein sequencing,  Methylation,  Mitochondrion, Mitochondrion outer membrane,  Reference proteome, Cytoplasm,  Transmembrane, Transmembrane beta strand"
Q8VDW0,"Nucleotide-binding,  Phosphoprotein,  Alternative splicing, Ubl conjugation,  ATP-binding,  Helicase,  Isopeptide bond,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation, Hydrolase,  Nucleus,  Reference proteome"
P70206," Coiled coil, Membrane,  Cell membrane,  Disulfide bond,  Repeat, 3D-structure,  Glycoprotein,  Reference proteome,  Signal,  Transmembrane, Transmembrane helix"
Q9CXZ1," Membrane,  Direct protein sequencing,  Phosphoprotein,  Transport,  Respiratory chain,  Mitochondrion inner membrane, Reference proteome, 3D-structure, Mitochondrion,  Transit peptide,  Electron transport"
Q924K8," Phosphoprotein,  Zinc-finger,  Alternative splicing, Nucleus,  DNA-binding, 3D-structure,  Cytoplasm,  Reference proteome,  Metal-binding,  Zinc"
P67984,"Ribosomal protein, Heparin-binding,  Phosphoprotein,  RNA-binding,  Reference proteome,  Ribonucleoprotein"
Q9CQX8," Phosphoprotein,  Ribosomal protein,  Mitochondrion, Acetylation,  Reference proteome, Ribonucleoprotein"
Q8K221," Membrane,  Phosphoprotein, Autophagy,  Golgi apparatus,  Reference proteome"
Q8BX94," Transport,  Phosphoprotein, Membrane,  Lipid-binding,  Cytoplasm,  Reference proteome,  Lipid transport,  Lipid droplet, Cell membrane"
Q3UHL1," Membrane, Calmodulin-binding,  Cell membrane, Phosphoprotein,  Reference proteome,  Cytoplasmic vesicle"
P31230," Apoptosis,  Phosphoprotein,  Secreted,  Golgi apparatus, Reference proteome,  RNA-binding, Inflammatory response,  Protein biosynthesis,  Cytoplasm, Acetylation,  tRNA-binding,  Endoplasmic reticulum,  Nucleus, Direct protein sequencing,  Cytokine,  Angiogenesis"
