,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Biological Process,GO ID BP,Keywords,GO Molecular Function,GO ID MF,Biological Process Label,Molecular Function Label,Cellular Component Label
227,Q62083,FT,PRKCA-binding protein,Mus musculus (Mouse),"synaptic vesicle ISO, plasma membrane ISS, postsynaptic early endosome ISO, dendrite ISO, presynaptic membrane ISS, cytosol ISO, aggresome ISO, glutamatergic synapse ISO, protein-containing complex ISO, Golgi apparatus IDA, postsynaptic density IDA, postsynaptic endocytic zone ISO, synapse IDA, cytoskeleton IEA, trans-Golgi network membrane IBA, neuron projection ISS, cytoplasm IDA, perinuclear region of cytoplasm IDA, mitochondrion IDA","GO:0042734, GO:0043005, GO:0005829, GO:0016235, GO:0005739, GO:0005737, GO:0005856, GO:0098978, GO:0005886, GO:0098843, GO:0005794, GO:0048471, GO:0045202, GO:0098842, GO:0030425, GO:0008021, GO:0032588, GO:0032991, GO:0014069","glial cell development ISS, negative regulation of Arp2/3 complex-mediated actin nucleation ISS, protein kinase C-activating G protein-coupled receptor signaling pathway ISS, protein phosphorylation ISS, protein targeting IDA, intracellular protein transport IBA, negative regulation of gene expression ISO, intracellular signal transduction NAS, dendritic spine maintenance ISS, regulation of insulin secretion ISO, dendritic spine organization ISS, monoamine transport ISS, regulation of postsynaptic neurotransmitter receptor internalization ISO, positive regulation of receptor internalization ISS, regulation of Arp2/3 complex-mediated actin nucleation IBA, regulation of synapse structure or activity NAS, multicellular organism development NAS, cellular response to glucose starvation ISS, cellular response to decreased oxygen levels ISS, receptor clustering IDA, negative regulation of cell death ISO, long-term synaptic depression ISS","GO:0099149, GO:0060548, GO:0035556, GO:0006605, GO:0097062, GO:0097061, GO:0007275, GO:0060292, GO:0007205, GO:0034315, GO:0010629, GO:0050796, GO:0006468, GO:0021782, GO:0002092, GO:0006886, GO:0036294, GO:0034316, GO:0043113, GO:0015844, GO:0042149, GO:0050803"," Cell junction, Lipoprotein,  Palmitate,  Cytoplasm,  Zinc,  Membrane,  Metal-binding,  Cytoskeleton, Reference proteome,  Phosphoprotein,  Calcium, Actin-binding,  Synaptosome,  Synapse","phospholipid binding IBA, protein kinase C binding IPI, cytoskeletal protein binding ISO, protein domain specific binding ISS, signaling receptor binding IPI, enzyme binding ISO, Arp2/3 complex binding ISS, SNAP receptor activity ISO, identical protein binding ISS, G protein-coupled receptor binding ISS, actin filament binding ISS, protein C-terminus binding IMP, ionotropic glutamate receptor binding ISO, metal ion binding IEA, membrane curvature sensor activity ISO","GO:0008092, GO:0019899, GO:0005543, GO:0051015, GO:0008022, GO:0042802, GO:0019904, GO:0005080, GO:0071933, GO:0046872, GO:0005102, GO:0001664, GO:0005484, GO:0140090, GO:0035255","GO:0009987, GO:0008152, GO:0051179, GO:0032502, GO:0050896, GO:0032501, GO:0065007","GO:0060090, GO:0005488","GO:0043228, GO:0042995, GO:0043227, GO:0031090, GO:0016234, GO:0030054, GO:0099572, GO:0043229, GO:0098590"
228,Q62159,FT,Rho-related GTP-binding protein RhoC,Mus musculus (Mouse),"cell cortex IBA, cytoskeleton IBA, cell projection IBA, nucleus IDA, cytoplasm IBA, membrane ISO, neuron projection IBA, cytosol ISO, intracellular membrane-bounded organelle IBA, plasma membrane IDA, vesicle IBA, cytoplasmic vesicle IBA, cleavage furrow ISS, stereocilium IDA","GO:0032154, GO:0043231, GO:0032420, GO:0043005, GO:0005829, GO:0005886, GO:0005737, GO:0005856, GO:0005634, GO:0031982, GO:0005938, GO:0016020, GO:0031410, GO:0042995","mitotic cytokinesis ISS, regulation of actin cytoskeleton organization IBA, wound healing, spreading of cells ISS, positive regulation of cell migration ISO, cortical cytoskeleton organization IBA, skeletal muscle satellite cell migration ISS, cell migration IBA, small GTPase mediated signal transduction IEA, establishment or maintenance of cell polarity IBA, actin filament organization IBA, regulation of cell shape IBA, actin cytoskeleton organization IBA, apical junction assembly IDA, positive regulation of protein-containing complex assembly IMP, positive regulation of lipase activity ISO, positive regulation of stress fiber assembly ISO","GO:1902766, GO:0007264, GO:0030335, GO:0044319, GO:0030865, GO:0060193, GO:0007163, GO:0031334, GO:0008360, GO:0051496, GO:0016477, GO:0032956, GO:0043297, GO:0000281, GO:0007015, GO:0030036"," GTP-binding,  Reference proteome,  Methylation, Cell membrane, Nucleotide-binding,  Prenylation,  Membrane,  Lipoprotein","GTP binding IBA, protein kinase binding IBA, GTPase activity IBA","GO:0003924, GO:0005525, GO:0019901","GO:0065007, GO:0009987, GO:0040011","GO:0005488, GO:0003824","GO:0043228, GO:0042995, GO:0043227, GO:0005737, GO:0043229, GO:0098590"
229,Q62172,RBP1_MOUSE,RalA-binding protein 1,Mus musculus (Mouse),"plasma membrane ISO, membrane ISS, neuron projection ISO","GO:0005886, GO:0043005, GO:0016020","positive regulation of GTPase activity IDA, xenobiotic detoxification by transmembrane export across the plasma membrane ISO, negative regulation of smooth muscle cell proliferation ISO, small GTPase mediated signal transduction ISO, regulation of GTPase activity ISO, doxorubicin transport ISO, mitotic spindle organization ISO, positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway ISO, endocytosis ISO, transmembrane transport ISO","GO:0007264, GO:0007052, GO:0006897, GO:0043087, GO:0055085, GO:0048662, GO:1990961, GO:0043547, GO:1900753, GO:1903378","Acetylation,  Membrane,  Transport, Reference proteome,  Phosphoprotein,  GTPase activation","xenobiotic transmembrane transporter activity ISO, transmembrane transporter activity ISO, ATPase-coupled transmembrane transporter activity ISO, Ral GTPase binding IPI, GTPase activator activity IDA, Rac GTPase binding ISO","GO:0048365, GO:0042910, GO:0022857, GO:0042626, GO:0005096, GO:0017160","GO:0051179, GO:0065007, GO:0009987","GO:0005215, GO:0098772, GO:0005488",GO:0042995
230,Q62190,FT,Macrophage-stimulating protein receptor,Mus musculus (Mouse),"basal plasma membrane IBA, plasma membrane IDA, vacuole IDA, stress fiber IDA, receptor complex IBA, integral component of plasma membrane IBA","GO:0005773, GO:0005887, GO:0005886, GO:0001725, GO:0009925, GO:0043235","nervous system development IBA, response to virus IMP, positive regulation of protein kinase B signaling ISO, phagocytosis IBA, cell migration IBA, viral process IEA, positive regulation of kinase activity IBA, multicellular organism development IBA, innate immune response IEA, transmembrane receptor protein tyrosine kinase signaling pathway IBA, positive regulation of MAP kinase activity ISO","GO:0007275, GO:0006909, GO:0009615, GO:0045087, GO:0016477, GO:0043406, GO:0007169, GO:0051897, GO:0016032, GO:0033674, GO:0007399","Innate immunity,  Transmembrane,  Kinase,  Ubl conjugation, Receptor,  Reference proteome,  Repeat,  Cleavage on pair of basic residues,  Glycoprotein,  Signal,  Transferase,  Tyrosine-protein kinase, Alternative splicing,  Phosphoprotein, Transmembrane helix,  Host-virus interaction,  Nucleotide-binding,  Immunity,  Membrane, Disulfide bond,  ATP-binding","transmembrane receptor protein tyrosine kinase activity IBA, enzyme binding ISO, ATP binding IEA","GO:0019899, GO:0005524, GO:0004714","GO:0002376, GO:0009987, GO:0044419, GO:0051179, GO:0032502, GO:0040011, GO:0050896, GO:0032501, GO:0065007","GO:0003824, GO:0005488, GO:0060089","GO:0032432, GO:0042641, GO:0043227, GO:0031224, GO:0043229, GO:0098590"
231,Q62203,SF3A2_MOUSE,Splicing factor 3A subunit 2,Mus musculus (Mouse),"nucleus IDA, catalytic step 2 spliceosome IBA, U2 snRNP ISS, U2-type precatalytic spliceosome ISS, U2-type prespliceosome IBA","GO:0005686, GO:0071004, GO:0071005, GO:0005634, GO:0071013","U2-type prespliceosome assembly ISS, mRNA splicing, via spliceosome ISS, RNA splicing, via transesterification reactions TAS, spliceosomal complex assembly IBA","GO:0000398, GO:0000245, GO:0000375, GO:1903241"," Spliceosome,  Reference proteome,  Zinc-finger,  mRNA processing,  Repeat, Acetylation,  Zinc,  Metal-binding,  Nucleus, Phosphoprotein,  mRNA splicing","zinc ion binding IEA, nucleic acid binding IEA","GO:0008270, GO:0003676","GO:0009987, GO:0008152",GO:0005488,"GO:0043227, GO:1902494, GO:0140513, GO:1990904, GO:0120114, GO:0043229"
232,Q62230,FT,Sialoadhesin,Mus musculus (Mouse),"integral component of membrane IEA, plasma membrane IBA, late endosome IBA, extracellular region IEA, early endosome IBA","GO:0005576, GO:0005769, GO:0005886, GO:0005770, GO:0016021","positive regulation of T cell apoptotic process IMP, positive regulation of extrinsic apoptotic signaling pathway IMP, cell adhesion IEA, clathrin-dependent endocytosis of virus by host cell IBA","GO:0007155, GO:0075512, GO:0070234, GO:2001238","3D-structure,  Reference proteome,  Alternative splicing,  Repeat, Direct protein sequencing,  Disulfide bond, Immunoglobulin domain,  Membrane, Secreted,  Endocytosis,  Cell adhesion,  Lectin,  Transmembrane,  Glycoprotein,  Transmembrane helix,  Cell membrane,  Signal","virion binding IBA, carbohydrate binding IEA","GO:0046790, GO:0030246","GO:0022610, GO:0009987, GO:0044419, GO:0051179, GO:0051704, GO:0065007",GO:0005488,"GO:0043227, GO:0031224"
233,Q62504,MINT_MOUSE,Msx2-interacting protein,Mus musculus (Mouse),"transcription repressor complex ISO, nucleoplasm ISO, nucleus IDA","GO:0005654, GO:0005634, GO:0017053","positive regulation of neurogenesis ISO, mRNA splicing, via spliceosome IBA, positive regulation of transcription, DNA-templated IDA, negative regulation of transcription, DNA-templated IDA, negative regulation of transcription by RNA polymerase II ISO, Notch signaling pathway IEA","GO:0000122, GO:0045892, GO:0007219, GO:0050769, GO:0000398, GO:0045893","Notch signaling pathway,  Repressor,  Alternative splicing,  Methylation,  Coiled coil,  Repeat, Transcription regulation,  RNA-binding, Activator,  Transcription,  Nucleus, Reference proteome,  Phosphoprotein,  DNA-binding,  Polymorphism","transcription corepressor activity IDA, RNA binding IEA, nucleic acid binding IBA, single-stranded DNA binding IDA, DNA-binding transcription factor activity IDA, RNA polymerase II transcription factor binding ISO","GO:0003714, GO:0003700, GO:0003697, GO:0001085, GO:0003676, GO:0003723","GO:0065007, GO:0009987, GO:0008152","GO:0098772, GO:0140110, GO:0005488","GO:0005667, GO:0043229, GO:0043227"
234,Q63918,CAVN2_MOUSE,Caveolae-associated protein 2,Mus musculus (Mouse),"cytosol ISS, nucleoplasm ISO, plasma membrane ISO, membrane raft ISO, cytoplasm ISO, caveola ISS","GO:0005829, GO:0005886, GO:0045121, GO:0005737, GO:0005901, GO:0005654","positive regulation of transcription by RNA polymerase II ISO, plasma membrane tubulation ISS","GO:0045944, GO:0097320"," Reference proteome,  Cytoplasm,  Coiled coil, Acetylation,  Membrane, Phosphoprotein,  Lipid-binding","protein kinase C binding IBA, phosphatidylserine binding ISS","GO:0005080, GO:0001786","GO:0065007, GO:0009987",GO:0005488,"GO:0098590, GO:0098857"
235,Q63932,MP2K2_MOUSE,Dual specificity mitogen-activated protein kinase kinase 2,Mus musculus (Mouse),"nucleus TAS, late endosome TAS, cytoplasmic side of plasma membrane ISO, early endosome TAS, cell-cell junction ISO, cell cortex ISO, Golgi apparatus ISO, focal adhesion TAS, mitochondrion TAS, cytosol ISO, perinuclear region of cytoplasm ISO, microtubule ISO, endoplasmic reticulum ISO, cytoplasm IDA","GO:0005829, GO:0005769, GO:0005739, GO:0005737, GO:0005634, GO:0005770, GO:0005794, GO:0048471, GO:0005911, GO:0005874, GO:0005938, GO:0005925, GO:0009898, GO:0005783","peptidyl-serine autophosphorylation ISO, positive regulation of production of miRNAs involved in gene silencing by miRNA ISO, heart development IGI, regulation of axon regeneration IGI, positive regulation of axonogenesis IGI, negative regulation of gene expression ISO, regulation of Golgi inheritance TAS, regulation of early endosome to late endosome transport TAS, protein phosphorylation IGI, thyroid gland development IGI, positive regulation of cell motility IDA, lung morphogenesis IGI, activation of MAPK activity IBA, positive regulation of protein serine/threonine kinase activity ISO, regulation of stress-activated MAPK cascade TAS, positive regulation of transcription, DNA-templated ISO, thymus development IGI, face development IGI, epithelial cell proliferation involved in lung morphogenesis IGI, trachea formation IGI, ERK1 and ERK2 cascade IGI","GO:0060440, GO:0060502, GO:0090170, GO:0045893, GO:0070371, GO:0000187, GO:0036289, GO:0048679, GO:0007507, GO:0071902, GO:0048538, GO:0010629, GO:0006468, GO:0050772, GO:0030878, GO:1903800, GO:0032872, GO:2000147, GO:0060324, GO:2000641, GO:0060425","3D-structure,  Reference proteome,  Magnesium,  Cytoplasm, Nucleotide-binding, Direct protein sequencing,  Membrane,  Metal-binding,  Acetylation,  Kinase,  Phosphoprotein,  Transferase, Serine/threonine-protein kinase,  ATP-binding,  Tyrosine-protein kinase","protein serine/threonine/tyrosine kinase activity TAS, protein serine/threonine kinase activity IEA, MAP kinase kinase activity ISO, molecular adaptor activity IDA, scaffold protein binding ISO, ATP binding ISO, protein tyrosine kinase activity IEA, PDZ domain binding ISO, MAP-kinase scaffold activity ISO, protein serine/threonine kinase activator activity ISO, metal ion binding IEA","GO:0005524, GO:0030165, GO:0004713, GO:0005078, GO:0046872, GO:0060090, GO:0097110, GO:0043539, GO:0004674, GO:0004712, GO:0004708","GO:0009987, GO:0065007, GO:0032502, GO:0008152","GO:0060090, GO:0098772, GO:0003824, GO:0005488","GO:0098552, GO:0099080, GO:0043227, GO:0005737, GO:0030054, GO:0043229"
236,Q640N1,AEBP1_MOUSE,Adipocyte enhancer-binding protein 1,Mus musculus (Mouse),"cytoplasm IEA, nucleus IEA, extracellular space HDA","GO:0005737, GO:0005615, GO:0005634","regulation of collagen fibril organization ISS, peptide metabolic process IBA, protein processing IBA, regulation of transcription, DNA-templated IDA, negative regulation of transcription by RNA polymerase II ISO","GO:0000122, GO:0006518, GO:0006355, GO:1904026, GO:0016485"," Reference proteome,  Repressor,  Cytoplasm,  Secreted, Glycoprotein, Alternative splicing,  Calmodulin-binding,  Nucleus, Transcription,  Transcription regulation,  Signal,  DNA-binding","zinc ion binding IEA, collagen binding ISS, metallocarboxypeptidase activity IBA, calmodulin binding IEA, carboxypeptidase activity IDA, DNA-binding transcription repressor activity, RNA polymerase II-specific ISO, RNA polymerase II transcription regulatory region sequence-specific DNA binding IDA","GO:0008270, GO:0005516, GO:0001227, GO:0004180, GO:0004181, GO:0000977, GO:0005518","GO:0065007, GO:0009987, GO:0008152","GO:0140110, GO:0005488, GO:0003824","GO:0043229, GO:0043227"
237,Q641K1,CBPC1_MOUSE,Cytosolic carboxypeptidase 1,Mus musculus (Mouse),"cytosol IDA, axon cytoplasm IEA, nucleus IDA, intracellular membrane-bounded organelle ISO, nucleolus ISO, cytoplasm IDA, mitochondrion IDA","GO:0043231, GO:0005829, GO:0005739, GO:0005737, GO:0005634, GO:1904115, GO:0005730","C-terminal protein deglutamylation IDA, retrograde axonal transport of mitochondrion IGI, negative regulation of cell population proliferation IMP, retina development in camera-type eye IMP, axonal transport IGI, anterograde axonal transport of mitochondrion IGI, cerebellum development IMP, adult walking behavior IMP, neurotransmitter metabolic process IMP, olfactory bulb development IMP, mitochondrion organization IMP, cerebellar Purkinje cell layer development IMP, protein deglutamylation IMP, positive regulation of ubiquitin-dependent protein catabolic process IMP, protein side chain deglutamylation IDA, central nervous system neuron development IGI, eye photoreceptor cell differentiation IMP, cerebellar Purkinje cell differentiation IMP, neuromuscular process IMP","GO:2000060, GO:0008285, GO:0021680, GO:0050905, GO:0021954, GO:0098958, GO:0021702, GO:0035609, GO:0098930, GO:0060041, GO:0042133, GO:0035608, GO:0007628, GO:0001754, GO:0007005, GO:0098957, GO:0035610, GO:0021549, GO:0021772"," Metalloprotease, Neurodegeneration,  Cytoplasm,  Protease,  Reference proteome,  Carboxypeptidase, Zinc, Alternative splicing, Hydrolase,  Metal-binding,  Disease mutation,  Nucleus,  Mitochondrion,  Phosphoprotein","peptidase activity TAS, zinc ion binding IEA, metallocarboxypeptidase activity IDA, tubulin binding IDA","GO:0008233, GO:0008270, GO:0015631, GO:0004181","GO:0009987, GO:0008152, GO:0051179, GO:0032502, GO:0032501, GO:0065007, GO:0007610","GO:0005488, GO:0003824","GO:0043228, GO:0005737, GO:0043229, GO:0043227"
238,Q64345,IFIT3_MOUSE,Interferon-induced protein with tetratricopeptide repeats 3,Mus musculus (Mouse),"cytosol ISO, mitochondrion ISS, cytoplasm ISS","GO:0005739, GO:0005737, GO:0005829","negative regulation of cell population proliferation ISS, cellular response to interferon-alpha IEA, response to virus ISS, response to stilbenoid IEP, defense response to virus IBA, negative regulation of apoptotic process ISS, innate immune response IEA, response to bacterium IEP, cellular response to interferon-beta IDA","GO:0008285, GO:0035457, GO:0009615, GO:0045087, GO:0043066, GO:0009617, GO:0035634, GO:0035458, GO:0051607"," Cytoplasm,  Repeat,  Immunity,  TPR repeat, Antiviral defense, Reference proteome,  Mitochondrion,  Innate immunity","identical protein binding ISO, RNA binding IBA","GO:0042802, GO:0003723","GO:0002376, GO:0009987, GO:0044419, GO:0050896, GO:0065007",GO:0005488,"GO:0043229, GO:0043227"
